GID_2,n_hosts,predicted,log_residual,type,COUNTRY,NAME_1,NAME_2,realm
CHN.29.4_1,0,1264.5232135046842,-3.102270115835266,Coldspot (Undersampled),China,Xizang,Ngari,Palearctic-East
CHN.31.2_1,0,551.1729743826093,-2.7420751466644746,Coldspot (Undersampled),China,Zhejiang,Huzhou,Palearctic-East
CHN.31.3_1,0,897.1917692274018,-2.9533690709944542,Coldspot (Undersampled),China,Zhejiang,Jiaxing,Palearctic-East
COL.2.75_2,249,1.62429193931082,1.9789278621988897,Hotspot (Oversampled),Colombia,Antioquia,Necoclí,Neotropic-Upper
COL.14.14_2,362,9.795825965198743,1.5266507501671074,Hotspot (Oversampled),Colombia,Córdoba,Montería,Neotropic-Upper
COL.29.2_2,210,1.43570761723215,1.9376573009935627,Hotspot (Oversampled),Colombia,Sucre,Caimito,Neotropic-Upper
COL.29.19_2,288,1.2486105546195918,2.1089835979146665,Hotspot (Oversampled),Colombia,Sucre,San Marcos,Neotropic-Upper
COL.29.23_2,126,1.885570608319982,1.643572015235009,Hotspot (Oversampled),Colombia,Sucre,Sincelejo,Neotropic-Upper
CZE.2.3_1,2753,36.623250003999544,1.8645076274859578,Hotspot (Oversampled),Czechia,Jihomoravský,Brno,Palearctic-West
DEU.1.4_1,1430,25.95189283634085,1.725050362585405,Hotspot (Oversampled),Germany,Baden-Württemberg,Böblingen,Palearctic-West
DEU.1.41_1,831,9.865745442504677,1.884063799917569,Hotspot (Oversampled),Germany,Baden-Württemberg,Tübingen,Palearctic-West
DEU.13.9_1,197,4.913436368778193,1.5248252622923686,Hotspot (Oversampled),Germany,Sachsen-Anhalt,Magdeburg,Palearctic-West
DEU.16.6_1,873,19.341529182883992,1.6331278345528333,Hotspot (Oversampled),Germany,Thüringen,Gotha,Palearctic-West
DEU.16.9_1,1876,13.200441571840518,2.1211624233627946,Hotspot (Oversampled),Germany,Thüringen,Ilm-Kreis,Palearctic-West
EGY.1.1_1,0,811.0132966188748,-2.90956314081867,Coldspot (Undersampled),Egypt,Ad Daqahliyah,Aja,Palearctic-South
EGY.1.3_1,0,981.5753501860812,-2.9923658648136158,Coldspot (Undersampled),Egypt,Ad Daqahliyah,Al-Mansurah,Palearctic-South
EGY.1.8_1,0,623.547336866134,-2.795565360821671,Coldspot (Undersampled),Egypt,Ad Daqahliyah,As-Sinbillawayn,Palearctic-South
EGY.1.10_1,0,825.7826941480558,-2.9173913775891855,Coldspot (Undersampled),Egypt,Ad Daqahliyah,Bilqas,Palearctic-South
EGY.1.15_1,0,1082.3161170319058,-3.034755204409254,Coldspot (Undersampled),Egypt,Ad Daqahliyah,Mit Ghamr,Palearctic-South
EGY.1.18_1,0,599.7708115639513,-2.7787088243212668,Coldspot (Undersampled),Egypt,Ad Daqahliyah,Shirbin,Palearctic-South
EGY.2.3_1,0,640.4194779422716,-2.807142143984075,Coldspot (Undersampled),Egypt,Al Bahr al Ahmar,Al-Qusayr,Palearctic-South
EGY.2.4_1,0,1276.8857194500747,-3.1064920168650976,Coldspot (Undersampled),Egypt,Al Bahr al Ahmar,Ash-Shalatin,Palearctic-South
EGY.2.5_1,0,913.4230854166277,-2.9611471816725454,Coldspot (Undersampled),Egypt,Al Bahr al Ahmar,Marsa 'Alam,Palearctic-South
EGY.3.1_1,0,1144.059443173564,-3.0588280326778006,Coldspot (Undersampled),Egypt,Al Buhayrah,Abu al-Matamir,Palearctic-South
EGY.3.2_1,0,718.4785595440334,-2.857017856492978,Coldspot (Undersampled),Egypt,Al Buhayrah,Abu Hummus,Palearctic-South
EGY.3.3_1,0,753.195613388727,-2.8774840020995534,Coldspot (Undersampled),Egypt,Al Buhayrah,Ad-Dilinat,Palearctic-South
EGY.3.6_1,0,682.1495710366504,-2.834515799968947,Coldspot (Undersampled),Egypt,Al Buhayrah,Badr,Palearctic-South
EGY.3.7_1,0,554.9248200888466,-2.745016064193256,Coldspot (Undersampled),Egypt,Al Buhayrah,Damanhur,Palearctic-South
EGY.3.10_1,0,551.930192869182,-2.74267030532753,Coldspot (Undersampled),Egypt,Al Buhayrah,Ityay al-Barud,Palearctic-South
EGY.3.11_1,0,2039.2811188140306,-3.309690010532945,Coldspot (Undersampled),Egypt,Al Buhayrah,Kafr ad-Dawwar,Palearctic-South
EGY.3.12_1,0,545.2032845334849,-2.7373543073937534,Coldspot (Undersampled),Egypt,Al Buhayrah,Kawm Hamadah,Palearctic-South
EGY.3.15_1,0,988.477453341387,-2.9954059026343995,Coldspot (Undersampled),Egypt,Al Buhayrah,Al Buhayrah (unincorporated),Palearctic-South
EGY.4.1_1,0,1177.95521339103,-3.071497307260838,Coldspot (Undersampled),Egypt,Al Fayyum,Al-Fayyum,Palearctic-South
EGY.4.5_1,0,500.50036707034985,-2.7002712552359367,Coldspot (Undersampled),Egypt,Al Fayyum,Sinnuris,Palearctic-South
EGY.4.6_1,0,482.711252651057,-2.6845861905669075,Coldspot (Undersampled),Egypt,Al Fayyum,Tamiyah,Palearctic-South
EGY.4.7_1,0,810.1612730313277,-2.9091072081255054,Coldspot (Undersampled),Egypt,Al Fayyum,Al Fayyum (unincorporated),Palearctic-South
EGY.5.1_1,0,750.4911462817918,-2.8759238682980266,Coldspot (Undersampled),Egypt,Al Gharbiyah,Al-Mahallah al-Kubra,Palearctic-South
EGY.5.4_1,0,826.8190426631664,-2.917935412434894,Coldspot (Undersampled),Egypt,Al Gharbiyah,As-Santah,Palearctic-South
EGY.5.6_1,0,486.91699671191145,-2.688345947133833,Coldspot (Undersampled),Egypt,Al Gharbiyah,Kafr az-Zayyat,Palearctic-South
EGY.5.8_1,0,473.9543408354728,-2.6766518612536756,Coldspot (Undersampled),Egypt,Al Gharbiyah,Samannud,Palearctic-South
EGY.5.9_1,0,791.0101772939852,-2.898730762289267,Coldspot (Undersampled),Egypt,Al Gharbiyah,Tanta,Palearctic-South
EGY.5.12_1,0,851.2554534360172,-2.93056978888549,Coldspot (Undersampled),Egypt,Al Gharbiyah,Zifta,Palearctic-South
EGY.6.2_1,0,2936.6582542095907,-3.4680012717321116,Coldspot (Undersampled),Egypt,Al Iskandariyah,Al-'Amriyah,Palearctic-South
EGY.6.6_1,861,2.554510600256674,2.3847274521061124,Hotspot (Oversampled),Egypt,Al Iskandariyah,Al-Manshiyah,Palearctic-South
EGY.7.2_1,0,659.5181674832828,-2.8198847673392384,Coldspot (Undersampled),Egypt,Al Isma`iliyah,Al-Qantarah ash-Sharqiyah,Palearctic-South
EGY.7.3_1,0,895.1244872738802,-2.952368344908459,Coldspot (Undersampled),Egypt,Al Isma`iliyah,At-Tall al-Kabir,Palearctic-South
EGY.7.5_1,0,584.6829124466707,-2.767662553482672,Coldspot (Undersampled),Egypt,Al Isma`iliyah,Ismailia,Palearctic-South
EGY.8.6_1,0,832.5157191400185,-2.9209137945316277,Coldspot (Undersampled),Egypt,Al Jizah,Al-Badrashayn,Palearctic-South
EGY.8.9_1,0,849.9410810953149,-2.9298994907061835,Coldspot (Undersampled),Egypt,Al Jizah,Al-Warraq,Palearctic-South
EGY.8.13_1,0,878.4635194842514,-2.9442178294497903,Coldspot (Undersampled),Egypt,Al Jizah,Giza,Palearctic-South
EGY.8.14_1,0,1088.7798532417264,-3.037338774840963,Coldspot (Undersampled),Egypt,Al Jizah,Imbabah,Palearctic-South
EGY.8.15_1,0,691.2986850874681,-2.8402935067381168,Coldspot (Undersampled),Egypt,Al Jizah,Kirdasah,Palearctic-South
EGY.8.19_1,0,5249.386301601694,-3.7201912581644243,Coldspot (Undersampled),Egypt,Al Jizah,Al Jizah (unincorporated),Palearctic-South
EGY.9.1_1,0,830.5201498220435,-2.9198727777293145,Coldspot (Undersampled),Egypt,Al Minufiyah,Al-Bajur,Palearctic-South
EGY.9.3_1,0,1290.7049868451202,-3.111163336247974,Coldspot (Undersampled),Egypt,Al Minufiyah,Ashmun,Palearctic-South
EGY.9.4_1,0,562.7134539537038,-2.751058400099817,Coldspot (Undersampled),Egypt,Al Minufiyah,Birkat as-Sab',Palearctic-South
EGY.9.7_1,0,1226.6387838221679,-3.0890706002989576,Coldspot (Undersampled),Egypt,Al Minufiyah,Quwaysina,Palearctic-South
EGY.9.9_1,0,561.1630823542922,-2.7498623217832368,Coldspot (Undersampled),Egypt,Al Minufiyah,Shibin al-Kawm,Palearctic-South
EGY.9.11_1,0,532.277827885812,-2.726953527378698,Coldspot (Undersampled),Egypt,Al Minufiyah,Tala,Palearctic-South
EGY.10.7_1,0,581.5787978532428,-2.7653546750343625,Coldspot (Undersampled),Egypt,Al Minya,Maghaghah,Palearctic-South
EGY.10.12_1,0,673.4526267221274,-2.828951450411621,Coldspot (Undersampled),Egypt,Al Minya,Samalut,Palearctic-South
EGY.10.13_1,0,2762.2777754179438,-3.4414245440795956,Coldspot (Undersampled),Egypt,Al Minya,Al Minya (unincorporated),Palearctic-South
EGY.11.8_1,0,462.1853697375872,-2.6657548332267624,Coldspot (Undersampled),Egypt,Al Qahirah,Al-Khalifa,Palearctic-South
EGY.11.14_1,0,602.4921667005342,-2.7806716373483447,Coldspot (Undersampled),Egypt,Al Qahirah,An-Nuzhah,Palearctic-South
EGY.11.20_1,0,851.3755008694002,-2.930630958651109,Coldspot (Undersampled),Egypt,Al Qahirah,Ash-Shruq,Palearctic-South
EGY.11.31_1,0,689.8975214006492,-2.83941363465241,Coldspot (Undersampled),Egypt,Al Qahirah,Nasr City 1,Palearctic-South
EGY.11.34_1,0,502.9176759036972,-2.702359592356169,Coldspot (Undersampled),Egypt,Al Qahirah,New Cairo 2,Palearctic-South
EGY.11.40_1,0,1357.8241164785165,-3.1331632461466206,Coldspot (Undersampled),Egypt,Al Qahirah,Al Qahirah (unincorporated),Palearctic-South
EGY.12.2_1,0,1903.199512803771,-3.2797124497051495,Coldspot (Undersampled),Egypt,Al Qalyubiyah,Al-Khankah,Palearctic-South
EGY.12.4_1,0,902.355990401638,-2.955858928829662,Coldspot (Undersampled),Egypt,Al Qalyubiyah,Al-Qanatir al-Khayriyah,Palearctic-South
EGY.12.5_1,0,957.7565827980848,-2.9817083588220377,Coldspot (Undersampled),Egypt,Al Qalyubiyah,Banha,Palearctic-South
EGY.12.8_1,0,1393.7149032997763,-3.1444854416041723,Coldspot (Undersampled),Egypt,Al Qalyubiyah,Qalyub,Palearctic-South
EGY.12.9_1,0,878.6056383040543,-2.9442880045410607,Coldspot (Undersampled),Egypt,Al Qalyubiyah,Shibin al-Qanatir,Palearctic-South
EGY.12.12_1,0,1111.1735499679733,-3.046172562347113,Coldspot (Undersampled),Egypt,Al Qalyubiyah,Tukh,Palearctic-South
EGY.12.13_1,0,834.5759442353246,-2.9219859283927123,Coldspot (Undersampled),Egypt,Al Qalyubiyah,Al Qalyubiyah (unincorporated),Palearctic-South
EGY.14.1_1,0,5702.597684786593,-3.756148884052915,Coldspot (Undersampled),Egypt,Al Wadi al Jadid,Al-Wahat al-Kharijah,Palearctic-South
EGY.14.2_1,0,1245.7621145021894,-3.095783596851011,Coldspot (Undersampled),Egypt,Al Wadi al Jadid,Baris Shurtah,Palearctic-South
EGY.14.3_1,0,7300.4738702832,-3.8634105353426826,Coldspot (Undersampled),Egypt,Al Wadi al Jadid,Shurtah al-Dakhlah,Palearctic-South
EGY.14.4_1,0,1425.4328500468732,-3.1542513318707543,Coldspot (Undersampled),Egypt,Al Wadi al Jadid,Shurtah al-Farafirah,Palearctic-South
